No.	View	Mdpt. X (vox)	Mdpt. Y (vox)	Mdpt. Z (vox)	Mean PSF Radius (vox)	St. Dev. (vox)	Incident Angle (deg)	Radial Distance (vox)	Tangent Angle (deg)
01	Ortho Z	442.16	778.70	100.00	3.60	0.41	6.07	380.59	0.16
02	Ortho Z	496.94	767.73	100.00	3.66	0.32	2.66	380.78	3.08
03	Ortho Z	551.64	747.68	100.00	3.84	0.37	3.15	380.42	2.92
04	Ortho Z	628.91	700.49	100.00	2.83	0.46	19.74	380.29	5.87
05	Ortho Z	699.98	626.03	100.00	3.07	0.47	1.16	379.41	1.32
06	Ortho Z	745.49	544.90	100.00	3.62	0.50	0.89	379.49	6.31
07	Ortho Z	171.68	708.41	100.00	3.87	0.41	6.86	379.72	1.94
08	Ortho Z	222.19	740.12	100.00	3.39	0.51	8.55	380.52	4.76
09	Ortho Z	457.10	33.40	100.00	3.42	0.49	5.66	373.05	0.20
10	Ortho Z	171.64	708.46	171.00	2.68	0.21	9.04	379.80	1.94
11	Ortho Z	222.41	739.77	171.00	3.65	0.38	16.22	380.21	4.77
12	Ortho Z	442.11	778.34	171.00	2.95	0.33	9.72	380.45	0.16
13	Ortho Z	499.07	766.80	171.00	3.45	0.35	9.34	380.50	3.42
14	Ortho Z	551.52	747.45	171.00	3.67	0.59	2.84	380.32	2.92
15	Ortho Z	627.09	701.71	171.00	2.98	0.59	11.56	380.10	6.20
16	Ortho Z	700.04	626.07	171.00	3.00	0.37	6.03	379.69	1.32
17	Ortho Z	732.32	573.35	171.00	3.41	0.30	10.88	379.29	1.39
18	Ortho Z	464.14	34.19	171.00	3.76	0.38	7.83	373.22	1.29
19	Ortho Z	227.13	66.43	171.00	3.04	1.20	4.78	374.18	0.94
20	Ortho Z	172.48	708.38	242.00	3.12	0.55	3.20	379.31	2.03
21	Ortho Z	226.13	740.83	242.00	3.20	0.32	7.62	379.36	5.34
22	Ortho Z	436.50	778.36	242.00	2.66	0.31	10.71	379.63	1.00
23	Ortho Z	498.90	766.07	242.00	3.42	0.33	11.03	379.52	3.43
24	Ortho Z	551.79	746.90	242.00	2.64	0.86	10.44	380.07	2.85
25	Ortho Z	624.59	703.27	242.00	2.46	0.97	10.79	379.86	6.64
26	Ortho Z	699.16	626.17	242.00	3.65	0.55	12.16	378.76	1.23
27	Ortho Z	731.70	574.02	242.00	3.09	0.94	9.93	378.98	1.52
28	Ortho Z	231.93	63.18	242.00	2.88	0.97	3.46	374.97	0.06
29	Ortho Z	473.13	35.19	242.00	3.64	0.50	1.09	374.30	2.67
30	Ortho Z	213.12	733.21	313.00	3.36	0.49	11.30	378.50	3.37
31	Ortho Z	270.84	758.49	313.00	2.91	0.96	8.37	378.25	2.08
32	Ortho Z	301.76	767.96	313.00	3.13	0.55	3.49	378.33	0.15
33	Ortho Z	470.71	771.51	313.00	4.21	0.49	20.99	378.47	1.95
34	Ortho Z	599.24	719.81	313.00	2.64	0.85	14.20	378.95	2.57
35	Ortho Z	683.58	645.14	313.00	4.04	0.59	17.16	378.21	2.22
36	Ortho Z	728.53	577.99	313.00	3.61	0.64	9.49	377.97	2.66
37	Ortho Z	182.68	90.54	313.00	2.76	0.57	8.12	375.95	3.74
38	Ortho Z	260.92	50.22	313.00	2.59	0.92	9.41	375.27	1.31
39	Ortho Z	218.95	65.36	670.00	3.65	0.49	19.21	378.85	5.12
40	Ortho Z	299.20	34.41	670.00	3.25	0.32	1.49	378.69	0.68
41	Ortho Z	45.34	252.40	670.00	3.56	0.63	6.97	379.47	2.41
42	Ortho Z	161.81	101.32	670.00	3.42	0.98	14.13	379.57	5.70
43	Ortho Z	563.64	63.97	670.00	4.40	0.80	4.55	377.13	2.71
44	Ortho Z	750.26	275.73	670.00	3.42	0.38	10.02	377.21	6.07
45	Ortho Z	88.05	167.40	1168.00	4.85	0.45	7.41	385.33	1.97
46	Ortho Z	128.38	121.88	1168.00	3.16	1.69	15.66	385.93	2.91
47	Ortho Z	185.16	76.89	1168.00	3.33	0.38	8.57	385.89	3.80
48	Ortho Z	260.90	39.80	1168.00	3.71	0.36	8.61	385.27	0.76
49	Ortho Z	321.10	23.61	1168.00	3.69	0.24	8.93	384.32	0.97
50	Ortho Z	404.63	17.81	1168.00	3.23	0.35	7.61	383.21	0.03
51	Ortho Z	578.78	66.91	1168.00	4.49	0.95	0.97	381.51	6.66
52	Ortho Z	751.69	279.40	1168.00	3.42	0.21	8.15	377.27	2.05
53	Ortho Z	27.84	284.83	1311.00	3.58	0.45	5.37	384.55	0.16
54	Ortho Z	56.83	214.67	1311.00	3.36	0.75	6.04	385.58	1.09
55	Ortho Z	100.13	151.44	1311.00	3.96	1.13	7.68	385.83	0.48
56	Ortho Z	246.29	44.03	1311.00	3.84	0.45	6.05	386.50	3.22
